OBJECTID,CSA2010,racdiv10,racdiv15,racdiv16,racdiv17,racdiv18,racdiv19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,22.8573107765951,24.7291528613101,23.9156829713821,20.11527386,23.9876822898103,23.16051753,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,36.2323049045177,39.162063095899,36.7927111006376,41.0176119,40.2988690917416,37.42974378,47882527.7110596,37524.9505334171
3,Belair-Edison,24.6081220639646,21.4680878845662,27.8303797873273,27.25599788,28.11483289318,30.05143477,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,66.7068780487866,69.857509618114,71.5103078614111,73.92673428,72.4227903537803,73.23953298,176077742.748718,150987.703638772
5,Canton,28.2754343212998,26.29369945924,24.956041056032,26.30542355,28.5300556683825,31.68851947,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,37.4787701630963,43.8512220954226,39.0607404395586,35.91718793,32.5521085221332,31.85297231,71541340.3063965,39962.5498347165
7,Cherry Hill,11.180190843281,25.5032214143137,25.3154332247589,30.2771398,27.9676796195264,26.32291069,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,49.5364472574364,50.6817044242091,50.4764280099902,51.03166503,52.314090828098,53.28190761,21022590.1307373,21705.411630344
9,Claremont/Armistead,66.7145272537785,63.5262515613254,65.1215498356654,67.28244699,67.3646903801844,69.05797697,61243774.4211426,40104.415980189
10,Clifton-Berea,7.949462395292,13.7464565186241,13.6451173229383,14.57810254,16.9943694828048,21.80674451,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,44.3469092747566,45.0586363790104,42.3335821000423,41.639259,49.1572391078646,50.81594744,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,23.4305636789732,36.8899463445369,35.699993553071,36.35379904,29.4234667327114,28.21789384,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,8.4666533401642,13.2716351171953,10.3103039238122,9.687104824,11.0485497228945,13.94487769,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,68.7985350300801,67.5631300479776,70.0808044610024,69.32252099,71.4670937408794,71.94881996,20736554.4064941,21565.859394559
15,Edmondson Village,7.38399039583441,7.46203896711064,8.68323736338852,8.375595842,6.94553462661394,7.426678454,23563061.0443115,21504.551357829
16,Fells Point,55.5820989227615,50.3365140665666,43.7935390036624,46.18081767,44.8218062770531,45.03787349,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,10.7806819743785,11.741920322846,12.7730041118061,10.83383024,13.9960293889853,14.94911224,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,56.4743208165146,57.6969044095538,55.0429380545547,54.15804261,52.9541979786466,50.37995709,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,67.8452419719025,67.515184839871,68.0205096653058,67.07497591,67.6204313997892,66.40207607,27051213.4559937,26454.2692113332
20,Greater Govans,18.5654724499601,21.5100615135298,21.6425131164679,20.53210942,20.4010018466797,23.75267911,22698495.7178955,22982.125714974
21,Greater Mondawmin,8.15259953677837,11.3703966048323,13.1382295985416,12.83326325,12.8352322034999,14.51091365,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,38.9136961215171,34.8290620095258,36.7435774505021,37.46510835,38.6082935593438,41.25331683,56688145.1790161,39862.7497953118
23,Greater Rosemont,7.59738951523075,5.48908692351591,6.99505701029723,7.183751669,6.49688468543202,6.199993455,42204384.5406494,32559.0762211491
24,Greenmount East,9.08262131801633,10.1383126509427,11.0827374889835,11.43879899,11.4637354666887,11.30589432,19072287.8240967,20797.4734578598
25,Hamilton,55.2220825839311,50.9799072963867,51.1608069105979,52.4254689,52.6319764702059,54.24875375,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,61.7672155145728,61.8036045427342,64.2140000431827,67.73417332,61.894181206654,60.82144748,10215859.0836182,18552.4075815937
27,Harford/Echodale,56.9641185554333,56.2929502091259,55.8134798540765,54.64366236,54.3474046077541,54.23588577,65360039.1698608,40019.1854001996
28,Highlandtown,62.858016252038,52.8708938266695,49.1234461400199,51.03566205,51.2227207163191,48.38457509,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,12.6897968656889,12.4191617706878,12.9509012295076,11.58062583,14.0019344597488,14.17908667,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,36.2361982942978,41.1738570342673,43.9794822216097,45.44987713,45.0979075458169,42.2192853,24995836.2615967,43415.0595478862
31,Lauraville,54.6355656043813,56.9231614992498,60.3082456890614,58.33601399,57.6930875693735,57.28853139,49665744.2354736,34419.676527973
32,Loch Raven,24.1600188910702,20.4163641633503,23.1900785778553,25.74266655,28.9818959488054,26.9315553,44147812.3265381,29314.3346718286
33,Madison/East End,23.1821654389306,29.4676043078257,30.4166649874069,28.79052983,34.5950825868359,31.68228701,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,40.3954208715078,42.6357060591214,41.1310717390944,39.03893666,36.934696106061,38.00948993,62441489.2398071,43152.625699222
35,Midtown,61.7698637999233,64.7467184435098,64.1389063104526,63.76612651,64.6831900947111,66.13686276,23823949.9294434,25020.0969698082
36,Midway/Coldstream,9.60849970992338,13.0427041249364,16.0136759907919,17.17218153,16.2345539439798,12.89093677,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,46.3850445998635,48.8095183712554,56.3272554349601,60.84742885,60.1348960883924,60.34548434,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,49.2103106214434,53.1506976858932,51.5129941246224,52.33457998,52.5294613278988,52.27843636,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,42.3001299414892,51.3276920350079,53.8713318411075,55.77806455,54.1414572686583,54.87685982,74923987.6937256,42904.2221443544
40,Northwood,22.4775091415869,28.3942604161178,30.7730260762258,31.42822193,34.3287810928908,36.83715641,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,20.8307078832716,22.981281169973,24.4685556361059,25.28485775,28.272363263901,27.88182543,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,77.7659581604049,75.5647088951146,78.3388663067909,80.1951624,81.2196074950904,80.05332128,89894372.2113037,47825.8629266244
43,Patterson Park North & East,76.9795107817558,67.8682864576828,68.0619570194184,66.08471175,68.8438857645296,68.59490795,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,19.268909695728,29.1703693556245,30.6310903827208,31.63120015,29.092667070792,29.13472943,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,12.0378324202924,8.82797391336189,10.4337324018987,10.30026532,11.410512590102,13.13491013,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,30.8966509160249,36.3558375737129,34.4903255225603,32.51316732,35.1314449770461,38.3430894,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,7.32686221222355,7.18959568030168,7.73680337099869,7.93083113,7.6707081180437,10.39415686,23672092.8682861,20987.1433066354
48,South Baltimore,19.3997376418742,27.0252037941371,23.535544157854,21.11191328,20.0907426217249,23.55626557,46353935.4255981,68440.0258266401
49,Southeastern,73.3780686628501,74.8594375036663,76.3631229269413,79.17001713,77.6584576342069,77.08096027,111251478.472229,102291.480547698
50,Southern Park Heights,9.28242636111366,15.2442220233299,15.9920570602905,15.32948873,17.8524678066128,22.37512376,27876227.5908203,24052.221372193
51,Southwest Baltimore,43.122735684612,48.4187509048363,47.1161630750151,49.75139877,49.8158501804567,45.75830883,37766068.8365479,28355.563581391
52,The Waverlies,37.469928227239,40.3649947353663,41.6867971936089,47.28260039,45.3116153466888,49.73921667,20383750.5437012,18733.826879757
53,Upton/Druid Heights,15.4065603647722,13.6921512053331,15.7161026953874,16.46288418,18.5469806167121,16.95815755,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,61.2431052769851,56.970142606027,54.6364132657233,55.95211275,62.1066624141214,62.62694128,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,62.0116173157464,48.5632397255528,50.0290759396526,55.57171633,56.9131361352857,66.70902176,45494092.9501953,42573.1244161851
